Environment: CartPole-v0, Frames: 1000000.0
Algorithm Parameters: {'algorithm': 'IS', 'batch_size': 50, 'gamma': 0.99, 'learning_rate': 0.001, 'start_epsilon': 1.0, 'stop_epsilon': 0.001, 'epsilon_decay': 0.0001, 'use_stochastic_delay': False, 'delay': 0, 'min_delay': 0, 'seed': 0} 
Model Parameters: {'hidden_units': [200], 'max_buffer_size': 1000, 'min_buffer_size': 100, 'copy_step': 25, 'max_dimension': 0} 
Run: 0 
episode:82, eps:0.194, avg reward (last 100):-1164.98, avg loss:66.58
episode:83, eps:0.190, avg reward (last 100):-1163.31, avg loss:65.92
episode:84, eps:0.186, avg reward (last 100):-1162.76, avg loss:65.29
episode:85, eps:0.183, avg reward (last 100):-1163.10, avg loss:64.68
episode:86, eps:0.179, avg reward (last 100):-1162.59, avg loss:64.13
episode:87, eps:0.176, avg reward (last 100):-1159.54, avg loss:63.72
episode:88, eps:0.172, avg reward (last 100):-1156.65, avg loss:63.20
episode:89, eps:0.169, avg reward (last 100):-1157.20, avg loss:62.65
episode:90, eps:0.165, avg reward (last 100):-1156.37, avg loss:62.11
episode:91, eps:0.162, avg reward (last 100):-1156.50, avg loss:61.60
episode:92, eps:0.159, avg reward (last 100):-1160.32, avg loss:61.12
episode:93, eps:0.156, avg reward (last 100):-1159.33, avg loss:60.66
episode:94, eps:0.153, avg reward (last 100):-1158.39, avg loss:60.19
episode:95, eps:0.150, avg reward (last 100):-1158.06, avg loss:59.74
episode:96, eps:0.147, avg reward (last 100):-1158.07, avg loss:59.30
episode:97, eps:0.144, avg reward (last 100):-1157.32, avg loss:58.89
episode:98, eps:0.141, avg reward (last 100):-1158.15, avg loss:58.44
episode:99, eps:0.138, avg reward (last 100):-1156.90, avg loss:58.00
episode:100, eps:0.135, avg reward (last 100):-1155.70, avg loss:57.56
episode:101, eps:0.133, avg reward (last 100):-1151.22, avg loss:57.37
episode:102, eps:0.130, avg reward (last 100):-1147.78, avg loss:57.17
episode:103, eps:0.128, avg reward (last 100):-1151.43, avg loss:56.82
episode:104, eps:0.125, avg reward (last 100):-1155.54, avg loss:56.19
episode:105, eps:0.123, avg reward (last 100):-1156.22, avg loss:55.38
episode:106, eps:0.120, avg reward (last 100):-1153.24, avg loss:54.34
episode:107, eps:0.118, avg reward (last 100):-1151.87, avg loss:53.31
episode:108, eps:0.116, avg reward (last 100):-1151.58, avg loss:52.36
episode:109, eps:0.113, avg reward (last 100):-1145.66, avg loss:51.40
episode:110, eps:0.111, avg reward (last 100):-1143.80, avg loss:50.44
episode:111, eps:0.109, avg reward (last 100):-1142.63, avg loss:49.43
episode:112, eps:0.107, avg reward (last 100):-1141.00, avg loss:48.16
episode:113, eps:0.105, avg reward (last 100):-1136.50, avg loss:46.82
episode:114, eps:0.103, avg reward (last 100):-1135.90, avg loss:45.40
episode:115, eps:0.101, avg reward (last 100):-1134.51, avg loss:44.34
episode:116, eps:0.099, avg reward (last 100):-1130.40, avg loss:43.28
episode:117, eps:0.097, avg reward (last 100):-1126.87, avg loss:42.42
episode:118, eps:0.095, avg reward (last 100):-1128.57, avg loss:41.47
episode:119, eps:0.093, avg reward (last 100):-1129.27, avg loss:40.78
episode:120, eps:0.091, avg reward (last 100):-1128.63, avg loss:40.23
episode:121, eps:0.089, avg reward (last 100):-1129.49, avg loss:39.41
episode:122, eps:0.088, avg reward (last 100):-1130.55, avg loss:38.56
episode:123, eps:0.086, avg reward (last 100):-1129.75, avg loss:37.84
episode:124, eps:0.084, avg reward (last 100):-1129.13, avg loss:36.96
episode:125, eps:0.082, avg reward (last 100):-1129.68, avg loss:36.01
episode:126, eps:0.081, avg reward (last 100):-1128.69, avg loss:35.51
